_id,baterryVolts,batteryCurrent,batteryLevel,co,coC,date,humidity,idStation,luminosity,no2,no2C,o3,o3C,pm1,pm10,pm2_5,pressure,serial,temperature,timestamp,timestampSensor
"ObjectId(""61695f315d3b3c009ca7aad9"")",4.17,0,97,0.0,0.0,NumberLong(1634295595372),56.155,Educacion,9798,115.286836393636,0.065,122.135462965562,0.066,2.41,3.41,3.05,94165.125,154BAAE80593E46D,20.82,NumberLong(1634295595372),1634302361
"ObjectId(""616960cb5d3b3c009ca7aadb"")",4.1,0,88,0.0,0.0,NumberLong(1634296011472),53.087,Poligono,8747,1.77089608226028,0.001,116.403250758172,0.063,1.86,2.84,2.61,94134.391,0E23A2E80593E429,21.18,NumberLong(1634296011472),1634302779
"ObjectId(""616960d35d3b3c009ca7aadd"")",4.26,168,100,167.835115058054,0.157,NumberLong(1634296018972),60.118,Gobierno,11251,64.9653149977652,0.037,0.0,0.0,1.4,2.67,1.96,94201.828,765A67057C1054A4,23.92,NumberLong(1634296018972),1634302785
"ObjectId(""6169661e5d3b3c009ca7aadf"")",4.17,0,95,0.0,0.0,NumberLong(1634297373972),50.24,Educacion,9160,116.270586241428,0.066,124.987425249228,0.068,3.79,11.92,4.95,94131.047,154BAAE80593E46D,22.71,NumberLong(1634297373972),1634304156
"ObjectId(""616967d65d3b3c009ca7aae1"")",4.26,123,100,166.514975688409,0.156,NumberLong(1634297814172),54.011,Gobierno,9176,54.348434655898,0.031,0.0,0.0,1.82,11.8,2.51,94177.125,765A67057C1054A4,24.29,NumberLong(1634297814172),1634304586
"ObjectId(""616967d75d3b3c009ca7aae3"")",4.11,0,88,0.0,0.0,NumberLong(1634297814972),48.444,Poligono,9638,0.0,0.0,136.197342117249,0.074,2.33,4.51,3.42,94107.0,0E23A2E80593E429,22.24,NumberLong(1634297814972),1634304580
"ObjectId(""61696d235d3b3c009ca7aae5"")",4.17,0,96,0.0,0.0,NumberLong(1634299171572),47.527,Educacion,9219,112.473213768251,0.064,115.515739434412,0.063,2.54,27.1,3.51,94092.703,154BAAE80593E46D,23.31,NumberLong(1634299171572),1634305956
"ObjectId(""61696ece5d3b3c009ca7ab05"")",4.24,0,100,158.530374454803,0.149,NumberLong(1634299598672),51.14,Gobierno,8853,75.1434825781683,0.043,0.0,0.0,1.25,10.85,1.79,94141.75,765A67057C1054A4,25.14,NumberLong(1634299598672),1634306380
"ObjectId(""61696ecf5d3b3c009ca7ab07"")",4.11,0,89,0.0,0.0,NumberLong(1634299599872),45.922,Poligono,9399,0.0,0.0,97.1650164903543,0.053,1.84,4.21,2.83,94071.938,0E23A2E80593E429,23.29,NumberLong(1634299599872),1634306379
"ObjectId(""6169743c5d3b3c009ca7ab09"")",4.18,0,96,0.0,0.0,NumberLong(1634300988772),44.776,Educacion,8811,96.515005565039,0.055,95.2065825688183,0.052,2.23,5.84,3.4,94049.875,154BAAE80593E46D,23.61,NumberLong(1634300988772),1634307761
"ObjectId(""616975de5d3b3c009ca7ab0b"")",4.24,0,100,71.1279822460758,0.067,NumberLong(1634301406172),44.561,Gobierno,8310,101.132402851256,0.058,0.0,0.0,1.25,2.22,1.81,94084.922,765A67057C1054A4,25.62,NumberLong(1634301406172),1634308176
"ObjectId(""616975ec5d3b3c009ca7ab0d"")",4.12,0,89,8.52435548061418,0.008,NumberLong(1634301420772),39.408,Poligono,7661,0.0,0.0,120.515700475659,0.066,1.33,2.84,2.02,94009.922,0E23A2E80593E429,24.28,NumberLong(1634301420772),1634308184
"ObjectId(""61697b3d5d3b3c009ca7ab0f"")",4.18,0,97,0.0,0.0,NumberLong(1634302781772),39.167,Educacion,10244,106.656143047679,0.061,102.158744922751,0.056,1.83,3.52,2.78,93983.898,154BAAE80593E46D,24.48,NumberLong(1634302781772),1634309556
